id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9665733,Simple Family House,49773227,Niroj,,Greater Dandenong,-37.96762,145.18552,Entire home/apt,89,1,0,,,1,0
9668238,BAY VIEW brand new Apartment 1307,47823384,JoJo,,Port Phillip,-37.85597,144.98264,Entire home/apt,119,1,385,2020-01-27,7.53,6,351
9669500,Cozy home close to beach and city,49968842,Ian,,Port Phillip,-37.83565,144.93656,Entire home/apt,121,7,1,2016-01-13,0.02,1,0
9671576,Long-term double room in Footscray,25023383,Catherine,,Maribyrnong,-37.80059,144.8933,Private room,40,14,0,,,1,0
9672005,"Clean, Inviting Central CBD Flat",49911433,Jennifer,,Melbourne,-37.81207,144.95987,Private room,74,4,1,2016-01-02,0.02,1,0
9672219,Shareroom Apartment over christmas,49979658,Mone,,Melbourne,-37.81438,144.95587,Shared room,39,1,0,,,1,0
9681648,Hot weather! refreshing room fr $38,49980720,Victory,,Kingston,-37.94145,145.04397,Private room,39,1,0,,,2,365
9683693,"Best View of Melbourne, CBD",50020805,Khine,,Melbourne,-37.81292,144.95098,Private room,65,1,119,2018-06-12,2.33,1,3
9683722,near CBD / 2 beds available,50020729,Yuri,,Melbourne,-37.80476,144.96201,Private room,52,1,0,,,1,0
9684890,"Central Melbourne, Carlton location",1474482,Reuben,,Melbourne,-37.79467,144.97037,Private room,28,7,1,2016-01-10,0.02,2,0
9685227,Abesha,31045117,Yonas,,Melton,-37.74656,144.73704,Private room,77,2,0,,,2,90
9686469,Toddler friendly home in Preston,50033927,Elizabeth,,Darebin,-37.73279,144.99658,Entire home/apt,129,5,1,2016-01-02,0.02,1,0
9687361,Brand New Icon Apt 604+Free Parking,47823384,JoJo,,Port Phillip,-37.85695,144.98368,Entire home/apt,189,1,380,2019-04-28,7.49,6,0
9690291,St Kilda and city travel ease,38323431,Anna,,Port Phillip,-37.86796,144.98809,Private room,60,1,0,,,1,0
9695824,Hot weather! Refreshing room $35,49980720,Victory,,Kingston,-37.94117,145.0424,Private room,36,1,2,2015-12-18,0.04,2,0
9696603,Beachside Apartment - Elwood,32155333,Brett,,Port Phillip,-37.88498,144.98296,Entire home/apt,129,3,0,,,1,0
9696740,Modern townhouse on CBD fringe,41044793,Emily,,Melbourne,-37.80887,144.94532,Private room,85,3,2,2016-01-28,0.04,1,0
9696830,"Beautiful Sunny, Art Deco Apartment",94675,Ariel,,Port Phillip,-37.85888,144.98592,Entire home/apt,106,2,5,2019-01-18,0.13,1,0
9697151,Coco's Atrium Loft,48464024,Cc,,Port Phillip,-37.86278,144.98177,Private room,65,1,316,2020-01-27,6.56,2,214
9697242,Beautiful St Kilda Beach Studio,50077784,Josh,,Port Phillip,-37.86191,144.97339,Entire home/apt,86,4,0,,,1,0
9697474,"Modern family home, 6kms from city!",50078971,Lisa,,Hobsons Bay,-37.82778,144.87322,Entire home/apt,240,5,2,2017-01-03,0.04,1,0
9697912,Executive Townhouse 3br + WiFi,50080970,Matthew,,Stonnington,-37.83788,144.99889,Entire home/apt,450,3,5,2016-03-19,0.10,1,0
9698288,Private Room With Spectaular Views,20668611,Nic,,Yarra,-37.82573,144.99864,Private room,100,1,1,2016-07-26,0.02,1,0
9698379,Staunton House,35847879,Madelyn + Sash,,Stonnington,-37.85304,145.0436,Entire home/apt,199,2,54,2019-02-27,1.08,1,88
9698441,Modern 1 Bed in South Yarra,11025170,Emma,,Stonnington,-37.83908,144.9993,Entire home/apt,80,1,1,2016-01-02,0.02,1,0
9698531,Ideal place for shot/long stay you'll love it :-),49901646,Will,,Moonee Valley,-37.78453,144.93815,Entire home/apt,129,6,39,2019-12-05,0.77,1,53
9698583,Cosmo Stays - Spacious 3-bedroom deluxe townhouse,1710397,Amanda,,Melbourne,-37.79341,144.96695,Entire home/apt,167,2,67,2020-01-31,1.36,3,221
9698899,Haven on the Hill,50085733,Debbie,,Banyule,-37.69528,145.13129,Private room,100,1,55,2020-01-17,1.17,1,365
9699018,3br home in the heart of Stkilda,49603535,Dotan,,Port Phillip,-37.8736,144.98087,Entire home/apt,189,4,16,2019-01-22,0.32,4,133
9699798,Elwood Californian Bungalow,12626133,Simon,,Port Phillip,-37.88388,144.98941,Entire home/apt,100,5,0,,,1,0
9700235,位于Docklands好房短租~~,48731432,Xuan,,Melbourne,-37.82105,144.95077,Private room,70,7,0,,,1,0
9701321,Coco's Palais,48464024,Cc,,Port Phillip,-37.86336,144.98475,Private room,65,1,263,2020-01-19,5.19,2,320
9701962,Bright Spacious St Kilda Townhouse,2547545,Felicia,,Stonnington,-37.85592,144.98535,Entire home/apt,275,4,32,2020-01-24,0.71,1,243
9701977,★ Harbour View Melbourne CBD 2Br 2Bth Apt & Pool ★,13971190,Andy,,Melbourne,-37.81571,144.95293,Entire home/apt,138,1,126,2020-02-02,2.47,3,139
9702655,Cosy home in heart of Abbotsford,30234254,Tess,,Yarra,-37.80974,144.99431,Entire home/apt,180,1,0,,,1,0
9702785,Home away from home!,314762,Claire,,Stonnington,-37.84541,145.00516,Private room,121,1,0,,,1,0
9703629,Metro Park West,50106190,Ming,,Melbourne,-37.81401,144.95496,Private room,55,3,5,2017-01-19,0.10,1,0
9711086,Renovated 2-storey Abbotsford house,43221806,Nick,,Yarra,-37.80515,144.99701,Entire home/apt,240,3,7,2018-03-24,0.14,1,0
9713831,Central South Melbourne Apartment,50147877,Kelly,,Port Phillip,-37.8317,144.96851,Entire home/apt,269,1,0,,,1,0
9714539,Leafy and quiet escape in St Kilda,12973447,Sammi,,Port Phillip,-37.86232,144.9805,Entire home/apt,110,5,0,,,1,0
9714888,Best location in Melbourne CBD,48360896,Martha,,Melbourne,-37.80882,144.97096,Private room,45,1,1,2015-12-22,0.02,3,0
9715761,Stunning 1880's 2 storey house for up to 6 guests,50156408,David,,Yarra,-37.81617,144.99471,Entire home/apt,496,4,16,2019-12-29,0.32,2,159
9717471,"Central, Private, Quite location",50164149,Belinda,,Melbourne,-37.80833,144.9464,Entire home/apt,129,1,4,2016-06-06,0.09,1,0
9717773,$79 Double/$49 Single,11802678,Victor,,Monash,-37.89218,145.18952,Private room,79,1,3,2016-09-10,0.07,1,0
9718281,Room available in Brunswick Californian Bungalow,50097215,Emma,,Moreland,-37.75347,144.94136,Private room,31,2,8,2019-07-17,0.16,1,0
